;-18.7972972972973;-38.745745745745744;-24.11811811811812
;1.256;11.831;8.6025
;13.332;13.731;27.8845
;33.7485;21.7825;27.222
;44.4735;38.0925;40.5785
;39.7185;43.921;42.605
;57.803;44.019;51.2385
;49.8645;57.7825;56.082
;62.4085;58.774;65.0645
;65.625;58.483;69.173
;62.926;61.796;66.28
;66.6085;66.6805;74.183
;67.3035;69.4435;69.608
;75.512;72.225;74.1305
;73.494;73.612;72.589
;75.035;74.315;69.6845
;76.973;76.141;73.184
;76.657;71.884;72.835
;72.7245;74.88;69.6805
;70.0655;74.2815;73.9045
;75.405;72.9235;72.0035
;74.8255;73.715;73.12
;78.2705;75.1295;75.332
;75.0595;72.1575;73.8035
;75.339;73.5325;72.943
;76.3555;74.147;74.7345
;73.782;71.338;72.423
;74.958;75.2475;74.245
;73.1195;77.384;74.2735
;74.7045;75.708;73.133

-27.2204; 7.22983; 18.3158; 27.5843; 41.0482; 42.0815; 51.0202; 54.5763; 62.0823; 64.427; 63.6673; 69.1573; 68.785; 73.9558; 73.2317; 73.0115; 75.4327; 73.792; 72.4283; 72.7505; 73.444; 73.8868; 76.244; 73.6735; 73.9382; 75.079; 72.5143; 74.8168; 74.9257; 74.5152;
-38.7457; 1.256; 13.332; 21.7825; 38.0925; 39.7185; 44.019; 49.8645; 58.774; 58.483; 61.796; 66.6085; 67.3035; 72.225; 72.589; 69.6845; 73.184; 71.884; 69.6805; 70.0655; 72.0035; 73.12; 75.1295; 72.1575; 72.943; 74.147; 71.338; 74.245; 73.1195; 73.133;
-18.7972972972973; 11.831; 27.8845; 33.7485; 44.4735; 43.921; 57.803; 57.7825; 65.0645; 69.173; 66.28; 74.183; 69.608; 75.512; 73.612; 75.035; 76.973; 76.657; 74.88; 74.2815; 75.405; 74.8255; 78.2705; 75.0595; 75.339; 76.3555; 73.782; 75.2475; 77.384; 75.708;
