;17;20;19
;24;20;22
;33;20;23
;35;21;32
;37;26;35
;40;26;37
;43;32;40
;41;36;40
;42;42;41
;45;46;41
;46;48;39
;46;45;42
;47;47;44
;47;49;44
;48;49;44
;44;51;47
;47;51;50
;47;51;50
;47;55;51
;50;54;52
;50;54;53
;50;56;53
;50;55;53
;50;55;53
;50;57;54
;50;58;53
;50;58;55
;50;55;55
;50;58;53
;50;57;53

18.6667; 22; 25.3333; 29.3333; 32.6667; 34.3333; 38.3333; 39; 41.6667; 44; 44.3333; 44.3333; 46; 46.6667; 47; 47.3333; 49.3333; 49.3333; 51; 52; 52.3333; 53; 52.6667; 52.6667; 53.6667; 53.6667; 54.3333; 53.3333; 53.6667; 53.3333;
17; 20; 20; 21; 26; 26; 32; 36; 41; 41; 39; 42; 44; 44; 44; 44; 47; 47; 47; 50; 50; 50; 50; 50; 50; 50; 50; 50; 50; 50;
20; 24; 33; 35; 37; 40; 43; 41; 42; 46; 48; 46; 47; 49; 49; 51; 51; 51; 55; 54; 54; 56; 55; 55; 57; 58; 58; 55; 58; 57;
