;20;19;22
;20;26;21
;32;36;29
;36;43;45
;36;44;51
;42;42;49
;45;47;48
;53;43;48
;63;48;90
;62;55;71
;69;57;94
;68;56;93
;62;58;96
;64;58;84
;67;55;90
;66;53;105
;67;52;101
;68;57;106
;71;56;105
;69;58;106
;73;58;114
;73;59;120
;75;61;121
;70;60;114
;81;62;124
;78;70;122
;103;73;128
;105;73;128
;96;77;125
;119;77;129

20.3333; 22.3333; 32.3333; 41.3333; 43.6667; 44.3333; 46.6667; 48; 67; 62.6667; 73.3333; 72.3333; 72; 68.6667; 70.6667; 74.6667; 73.3333; 77; 77.3333; 77.6667; 81.6667; 84; 85.6667; 81.3333; 89; 90; 101.333; 102; 99.3333; 108.333;
19; 20; 29; 36; 36; 42; 45; 43; 48; 55; 57; 56; 58; 58; 55; 53; 52; 57; 56; 58; 58; 59; 61; 60; 62; 70; 73; 73; 77; 77;
22; 26; 36; 45; 51; 49; 48; 53; 90; 71; 94; 93; 96; 84; 90; 105; 101; 106; 105; 106; 114; 120; 121; 114; 124; 122; 128; 128; 125; 129;
